"mes","ROI","porcentaje_marketing","variable","value"
0,1.4,0.08,"costo_financiero",12.44
1,1.4,0.08,"costo_financiero",17.91
2,1.4,0.08,"costo_financiero",17.02
3,1.4,0.08,"costo_financiero",15.18
4,1.4,0.08,"costo_financiero",15.36
5,1.4,0.08,"costo_financiero",14.32
6,1.4,0.08,"costo_financiero",10.38
7,1.4,0.08,"costo_financiero",6.08
8,1.4,0.08,"costo_financiero",0
9,1.4,0.08,"costo_financiero",0
10,1.4,0.08,"costo_financiero",0
11,1.4,0.08,"costo_financiero",0
12,1.4,0.08,"costo_financiero",0
0,1.4,0.08,"utilidad",-200
1,1.4,0.08,"utilidad",1064
2,1.4,0.08,"utilidad",2338.44
3,1.4,0.08,"utilidad",4147.28
4,1.4,0.08,"utilidad",4577.71
5,1.4,0.08,"utilidad",5731.2
6,1.4,0.08,"utilidad",7725.73
7,1.4,0.08,"utilidad",8698.57
8,1.4,0.08,"utilidad",10809.37
9,1.4,0.08,"utilidad",12243.86
10,1.4,0.08,"utilidad",15218.06
11,1.4,0.08,"utilidad",17983.25
12,1.4,0.08,"utilidad",20831.72
0,1.4,0.12,"venta",40000
1,1.4,0.12,"venta",49792
2,1.4,0.12,"venta",61981.08
3,1.4,0.12,"venta",77154.05
4,1.4,0.12,"venta",96041.36
5,1.4,0.12,"venta",119552.29
6,1.4,0.12,"venta",148818.69
7,1.4,0.12,"venta",185249.5
8,1.4,0.12,"venta",230598.58
9,1.4,0.12,"venta",287049.11
10,1.4,0.12,"venta",357318.73
11,1.4,0.12,"venta",444790.36
12,1.4,0.12,"venta",553675.04
0,1.4,0.12,"costo_marketing",4800
1,1.4,0.12,"costo_marketing",4800
2,1.4,0.12,"costo_marketing",5975.04
3,1.4,0.12,"costo_marketing",7437.73
4,1.4,0.12,"costo_marketing",9258.49
5,1.4,0.12,"costo_marketing",11524.96
6,1.4,0.12,"costo_marketing",14346.27
7,1.4,0.12,"costo_marketing",17858.24
8,1.4,0.12,"costo_marketing",22229.94
9,1.4,0.12,"costo_marketing",27671.83
10,1.4,0.12,"costo_marketing",34445.89
11,1.4,0.12,"costo_marketing",42878.25
12,1.4,0.12,"costo_marketing",53374.84
0,1.4,0.12,"costo_financiero",26.67
1,1.4,0.12,"costo_financiero",29.09
2,1.4,0.12,"costo_financiero",31.65
3,1.4,0.12,"costo_financiero",36.76
4,1.4,0.12,"costo_financiero",40.16
5,1.4,0.12,"costo_financiero",43.39
6,1.4,0.12,"costo_financiero",45.07
7,1.4,0.12,"costo_financiero",42.83
8,1.4,0.12,"costo_financiero",35.77
9,1.4,0.12,"costo_financiero",32.44
10,1.4,0.12,"costo_financiero",22.77
11,1.4,0.12,"costo_financiero",11.05
12,1.4,0.12,"costo_financiero",0
0,1.4,0.12,"utilidad",-1800
1,1.4,0.12,"utilidad",1096
2,1.4,0.12,"utilidad",2015.5
3,1.4,0.12,"utilidad",2139.3
4,1.4,0.12,"utilidad",3762.19
5,1.4,0.12,"utilidad",5251.18
6,1.4,0.12,"utilidad",7063.07
7,1.4,0.12,"utilidad",9766.51
8,1.4,0.12,"utilidad",14069.35
9,1.4,0.12,"utilidad",16852.73
10,1.4,0.12,"utilidad",23213.47
11,1.4,0.12,"utilidad",28516.93
12,1.4,0.12,"utilidad",36462.68
0,1.4,0.16,"venta",40000
1,1.4,0.16,"venta",53056
2,1.4,0.16,"venta",70373.48
3,1.4,0.16,"venta",93343.38
4,1.4,0.16,"venta",123810.66
5,1.4,0.16,"venta",164222.46
6,1.4,0.16,"venta",217824.67
7,1.4,0.16,"venta",288922.65
8,1.4,0.16,"venta",383227
9,1.4,0.16,"venta",508312.29
10,1.4,0.16,"venta",674225.42
11,1.4,0.16,"venta",894292.6
12,1.4,0.16,"venta",1186189.7
0,1.4,0.16,"costo_marketing",6400
1,1.4,0.16,"costo_marketing",6400
2,1.4,0.16,"costo_marketing",8488.96
3,1.4,0.16,"costo_marketing",11259.76
4,1.4,0.16,"costo_marketing",14934.94
5,1.4,0.16,"costo_marketing",19809.71
6,1.4,0.16,"costo_marketing",26275.59
7,1.4,0.16,"costo_marketing",34851.95
8,1.4,0.16,"costo_marketing",46227.62
9,1.4,0.16,"costo_marketing",61316.32
10,1.4,0.16,"costo_marketing",81329.97
11,1.4,0.16,"costo_marketing",107876.07
12,1.4,0.16,"costo_marketing",143086.82
0,1.4,0.16,"costo_financiero",45.33
1,1.4,0.16,"costo_financiero",62.25
2,1.4,0.16,"costo_financiero",76.98
3,1.4,0.16,"costo_financiero",80.36
4,1.4,0.16,"costo_financiero",83.63
5,1.4,0.16,"costo_financiero",89.47
6,1.4,0.16,"costo_financiero",103.93
7,1.4,0.16,"costo_financiero",120.99
8,1.4,0.16,"costo_financiero",142.21
9,1.4,0.16,"costo_financiero",166.99
10,1.4,0.16,"costo_financiero",188.9
11,1.4,0.16,"costo_financiero",217.54
12,1.4,0.16,"costo_financiero",254.43
0,1.4,0.16,"utilidad",-3400
1,1.4,0.16,"utilidad",-872
2,1.4,0.16,"utilidad",-302.22
3,1.4,0.16,"utilidad",2411.93
4,1.4,0.16,"utilidad",3970.39
5,1.4,0.16,"utilidad",5301.52
6,1.4,0.16,"utilidad",7636.74
7,1.4,0.16,"utilidad",10609.38
8,1.4,0.16,"utilidad",14385.88
9,1.4,0.16,"utilidad",19839.83
10,1.4,0.16,"utilidad",28782.74
11,1.4,0.16,"utilidad",38270.23
12,1.4,0.16,"utilidad",51008.04
